"sex","age","age_cat","race","juv_fel_count","juv_misd_count","juv_other_count","priors_count","days_b_screening_arrest","c_days_from_compas","c_jail_in","c_jail_out","c_charge_degree","c_charge_desc","is_recid","decile_score","score_text","c_charge_violent","c_time_in_jail"
"Male",36,"25 - 45","Caucasian",0,0,0,1,0,0,2014-01-17 02:33:03,2014-01-17 09:43:27,"F","Burglary Structure Unoccup",0,2,"Low","N",0
"Male",30,"25 - 45","African-American",0,0,0,3,-1,1,2013-04-28 04:58:10,2013-11-20 09:13:09,"M","Battery",0,7,"Medium","V",206
"Male",42,"25 - 45","Hispanic",0,0,0,1,0,1,2013-03-10 12:20:11,2013-05-01 07:11:16,"F","Aggrav Battery w/Deadly Weapon",1,1,"Low","V",52
"Female",24,"Less than 25","African-American",0,0,0,2,-1,1,2014-01-12 05:35:17,2014-03-11 05:32:00,"F","Grand Theft in the 3rd Degree",1,6,"Medium","N",58
"Male",34,"25 - 45","African-American",0,0,0,2,-1,1,2014-08-01 03:44:21,2014-08-02 01:25:20,"F","Carrying Concealed Firearm",1,3,"Low","N",1
"Male",29,"25 - 45","African-American",0,0,0,10,0,1,2013-08-18 12:03:54,2013-08-19 07:36:27,"F","Driving While License Revoked",1,6,"Medium","N",1
"Male",22,"Less than 25","Caucasian",0,1,0,2,0,0,2013-03-01 02:35:25,2013-03-02 09:45:12,"F","Poss F/Arm Delinq",1,9,"High","N",1
"Male",20,"Less than 25","African-American",0,0,0,0,-1,1,2014-09-08 10:28:08,2014-09-11 05:12:33,"M","Battery",1,3,"Low","V",3
"Male",57,"Greater than 45","Hispanic",0,0,0,0,0,1,2013-05-04 02:39:10,2013-08-21 09:19:11,"M","Burglary With Assault/battery",0,1,"Low","V",109
"Male",27,"25 - 45","African-American",0,0,0,0,0,0,2013-09-27 01:08:40,2013-09-28 01:42:06,"M","Battery",0,1,"Low","V",1
"Female",48,"Greater than 45","Other",0,0,0,0,-1,1,2013-02-26 04:52:54,2013-02-27 09:49:05,"F","Aggrav Battery w/Deadly Weapon",0,1,"Low","V",1
"Female",23,"Less than 25","African-American",0,0,0,1,-1,1,2013-05-16 06:54:16,2013-05-18 06:20:12,"F","arrest case no charge",0,3,"Low","O",2
"Male",38,"25 - 45","African-American",0,0,0,0,-1,1,2013-02-18 09:39:49,2013-02-20 04:22:28,"M","Battery",0,1,"Low","V",2
"Male",27,"25 - 45","Caucasian",0,0,0,1,-1,1,2014-03-07 07:32:26,2014-03-08 09:08:08,"F","arrest case no charge",0,3,"Low","O",1
"Male",36,"25 - 45","African-American",0,0,0,10,-1,1,2014-08-28 09:03:12,2014-08-29 01:37:56,"F","Forge Counterfeit Credit Card",0,6,"Medium","N",1
"Male",27,"25 - 45","African-American",0,0,0,15,-1,1,2013-05-05 08:25:31,2013-09-24 06:22:15,"M","Resisting W/O Violence",0,9,"High","N",142
"Male",29,"25 - 45","Caucasian",0,0,0,2,29,57,2013-11-21 04:46:06,2013-12-16 12:07:03,"M","Felony Battery (Dom Strang)",1,2,"Low","V",25
"Male",43,"25 - 45","Hispanic",0,0,0,0,-1,1,2013-09-20 10:07:27,2013-09-21 08:40:20,"M","Battery",0,1,"Low","V",1
"Male",56,"Greater than 45","Caucasian",0,0,0,13,-13,13,2013-06-26 10:01:48,2013-07-03 08:32:05,"F","arrest case no charge",0,2,"Low","O",7
"Male",35,"25 - 45","African-American",0,0,0,7,-1,1,2013-05-09 11:20:35,2013-06-07 09:22:48,"F","arrest case no charge",0,4,"Low","O",29
"Male",22,"Less than 25","African-American",0,0,0,0,-1,1,2014-06-06 05:49:14,2014-06-07 07:49:48,"M","Battery",1,10,"High","V",1
"Male",39,"25 - 45","Other",0,1,0,4,-30,31,2014-08-31 01:21:04,2014-08-31 01:51:52,"F","Poss Pyrrolidinovalerophenone",1,2,"Low","N",0
"Male",33,"25 - 45","African-American",0,0,0,1,-1,1,2013-03-23 04:32:28,2013-03-24 07:19:46,"M","Battery",1,1,"Low","V",1
"Male",27,"25 - 45","Hispanic",0,0,0,8,-1,1,2013-03-20 11:32:39,2013-03-21 10:48:57,"F","Possession of Cannabis",0,7,"Medium","N",1
"Female",58,"Greater than 45","Caucasian",0,0,0,2,-23,23,2013-04-06 08:22:37,2013-04-07 12:56:04,"M","DUI Property Damage/Injury",0,1,"Low","N",1
"Male",34,"25 - 45","African-American",0,0,0,0,0,0,2014-01-06 03:46:05,2014-01-06 08:25:11,"M","Driving Under The Influence",1,1,"Low","N",0
"Female",24,"Less than 25","African-American",0,0,0,0,-1,1,2014-05-01 07:32:12,2014-05-03 02:02:15,"F","Grand Theft in the 3rd Degree",0,7,"Medium","N",2
"Male",46,"Greater than 45","African-American",0,0,0,0,0,0,2013-09-21 04:23:43,2013-09-22 07:45:05,"M","Battery",0,1,"Low","V",1
"Female",46,"Greater than 45","African-American",0,0,0,10,-1,1,2014-04-22 08:48:30,2014-04-24 03:53:24,"F","Possession of Cocaine",0,9,"High","N",2
"Male",34,"25 - 45","African-American",0,0,0,1,-1,1,2014-11-11 07:12:30,2014-11-12 09:13:18,"F","Grand Theft in the 3rd Degree",0,5,"Medium","N",1
"Male",34,"25 - 45","Other",0,0,0,0,-1,1,2014-02-23 06:40:09,2014-02-25 10:03:53,"F","Battery on Law Enforc Officer",1,2,"Low","V",2
"Female",39,"25 - 45","Caucasian",0,0,0,1,-1,1,2013-02-25 07:42:47,2013-06-12 04:31:04,"F","Possession of Morphine",0,4,"Low","N",107
"Male",29,"25 - 45","African-American",3,0,1,4,-1,1,2014-11-14 08:25:48,2014-11-21 04:07:40,"F","Burglary Unoccupied Dwelling",0,9,"High","N",7
"Male",58,"Greater than 45","Caucasian",0,0,0,4,0,0,2014-11-13 11:35:04,2014-11-14 09:12:36,"F","Felony Petit Theft",1,5,"Medium","N",1
"Male",71,"Greater than 45","Caucasian",0,0,0,0,-1,1,2014-04-06 12:20:20,2014-04-07 02:08:08,"M","Battery",0,1,"Low","V",1
"Male",41,"25 - 45","African-American",0,0,0,1,-1,1,2013-02-25 05:22:38,2013-02-27 05:48:55,"F","Grand Theft Firearm",0,1,"Low","N",2
"Male",34,"25 - 45","Caucasian",0,0,0,0,-1,1,2013-11-17 08:34:35,2013-11-18 08:26:12,"M","Battery",0,1,"Low","V",1
"Male",31,"25 - 45","African-American",0,0,0,4,-1,1,2013-12-07 04:12:04,2013-12-31 08:45:57,"F","Tampering With Physical Evidence",1,8,"High","N",24
"Male",32,"25 - 45","African-American",0,0,0,0,-1,1,2014-07-21 05:49:57,2014-07-22 02:07:04,"M","Battery",0,1,"Low","V",1
"Male",30,"25 - 45","Hispanic",0,0,0,7,-1,1,2013-11-05 01:13:15,2013-11-06 08:26:17,"F","Agg Assault W/int Com Fel Dome",0,9,"High","V",1
"Male",24,"Less than 25","Other",0,0,0,0,-1,1,2014-12-15 05:25:20,2014-12-16 07:51:21,"F","Felony Battery (Dom Strang)",0,2,"Low","V",1
"Male",43,"25 - 45","African-American",0,0,0,5,0,1105,2014-02-19 04:03:28,2014-03-05 10:06:18,"M","arrest case no charge",0,6,"Medium","O",14
"Male",32,"25 - 45","Caucasian",0,0,0,0,0,1,2014-09-24 01:45:37,2014-09-24 08:20:00,"M","Driving Under The Influence",0,1,"Low","N",0
"Male",26,"25 - 45","African-American",0,0,0,0,-1,1,2013-09-20 05:36:25,2013-09-21 09:55:44,"F","Burglary Conveyance Unoccup",1,4,"Low","N",1
"Male",23,"Less than 25","Caucasian",0,0,1,4,-1,1,2013-05-05 09:33:56,2013-05-06 08:00:17,"F","Poss Similitude of Drivers Lic",1,4,"Low","N",1
"Male",27,"25 - 45","African-American",0,0,0,5,-1,1,2014-03-20 02:19:43,2014-03-21 07:57:16,"F","Aggrav Battery w/Deadly Weapon",1,9,"High","V",1
"Male",41,"25 - 45","Caucasian",0,0,0,1,-1,1,2013-05-05 02:01:33,2013-05-07 04:47:46,"M","Lve/Scen/Acc/Veh/Prop/Damage",1,2,"Low","N",2
"Male",43,"25 - 45","Caucasian",0,0,0,0,-1,1,2014-02-18 05:27:55,2014-02-19 02:01:25,"M","Battery",0,4,"Low","V",1
"Male",21,"Less than 25","African-American",0,0,0,0,0,0,2014-03-10 04:22:06,2014-03-12 11:18:43,"F","Possession Firearm School Prop",0,4,"Low","N",2
"Male",22,"Less than 25","African-American",0,0,0,0,-1,1,2013-02-14 11:00:19,2013-02-16 01:39:44,"F","Exhibition Weapon School Prop",1,7,"Medium","N",2
"Male",45,"Greater than 45","Caucasian",0,0,0,2,-1,1,2013-02-24 11:48:29,2013-02-25 06:52:51,"F","Possession of Cocaine",0,1,"Low","N",1
"Male",61,"Greater than 45","African-American",0,0,0,2,0,1,2013-10-11 12:18:27,2013-10-12 05:32:14,"M","Battery",0,8,"High","V",1
"Male",25,"25 - 45","African-American",0,0,3,6,-1,1,2013-05-08 02:38:05,2014-04-08 06:22:18,"F","arrest case no charge",0,8,"High","O",335
"Female",28,"25 - 45","Caucasian",0,0,0,1,-1,1,2013-02-01 10:36:23,2013-02-11 06:46:31,"F","arrest case no charge",1,7,"Medium","O",10
"Male",25,"25 - 45","African-American",0,0,0,1,-1,1,2013-12-05 09:04:52,2013-12-06 08:24:30,"F","arrest case no charge",0,2,"Low","O",1
"Male",54,"Greater than 45","African-American",0,0,0,5,-1,1,2014-06-13 12:47:41,2014-06-15 09:23:16,"F","arrest case no charge",0,6,"Medium","O",2
"Male",27,"25 - 45","African-American",1,2,0,11,-1,1,2014-01-27 06:29:28,2014-01-30 10:05:05,"F","Deliver Cocaine",0,9,"High","N",3
"Male",29,"25 - 45","African-American",0,0,0,2,-1,1,2013-05-05 10:38:59,2013-06-12 05:40:10,"F","Burglary Conveyance Armed",0,6,"Medium","V",38
"Male",32,"25 - 45","African-American",0,0,0,1,-1,1,2013-11-04 02:23:51,2014-05-23 06:12:55,"F","Tamper With Witness/Victim/CI",0,2,"Low","N",200
"Male",32,"25 - 45","African-American",0,0,4,9,-1,1,2014-02-18 06:56:00,2014-02-19 02:08:42,"F","Burglary Unoccupied Dwelling",0,9,"High","N",1
"Male",33,"25 - 45","African-American",0,0,0,5,0,1,2013-01-27 12:15:24,2013-02-02 08:07:19,"M","Susp Drivers Lic 1st Offense",1,8,"High","N",6
"Male",23,"Less than 25","Hispanic",0,0,0,0,0,0,2014-02-10 04:37:45,2014-02-10 08:40:32,"M","Driving Under The Influence",0,4,"Low","N",0
"Male",23,"Less than 25","Caucasian",0,0,0,0,0,0,2014-03-20 03:17:09,2014-03-20 09:58:54,"F","Poss3,4 Methylenedioxymethcath",0,3,"Low","N",0
"Male",21,"Less than 25","African-American",0,0,0,1,-1,1,2013-01-16 04:32:53,2013-01-17 07:40:18,"F","Bribery Athletic Contests",1,9,"High","N",1
"Male",42,"25 - 45","African-American",0,0,0,1,-12,13,2013-05-31 04:44:14,2013-06-04 10:17:31,"F","arrest case no charge",0,1,"Low","O",4
"Male",43,"25 - 45","African-American",0,0,0,3,-4,4,2014-10-03 02:03:27,2014-10-04 07:52:43,"M","Operating W/O Valid License",1,1,"Low","N",1
"Male",39,"25 - 45","African-American",0,0,0,1,-1,1,2013-03-01 11:09:53,2013-03-02 08:39:59,"F","Possession of Cocaine",1,2,"Low","N",1
"Male",27,"25 - 45","African-American",0,0,0,2,-1,0,2013-01-15 09:51:37,2013-01-17 09:15:00,"F","arrest case no charge",1,5,"Medium","O",2
"Male",33,"25 - 45","African-American",0,0,0,1,-1,1,2013-09-14 06:09:53,2013-09-17 11:30:40,"F","Corrupt Public Servant",1,2,"Low","N",3
"Male",23,"Less than 25","Hispanic",0,0,0,0,0,1,2014-02-20 01:30:24,2014-02-20 08:53:21,"F","Agg Fleeing/Eluding High Speed",0,2,"Low","N",0
"Male",34,"25 - 45","Caucasian",0,0,0,0,-1,1,2013-03-29 07:55:48,2013-03-30 08:06:44,"F","Fleeing or Eluding a LEO",1,1,"Low","N",1
"Male",52,"Greater than 45","African-American",0,0,0,2,-5,5,2013-06-26 02:12:03,2013-06-29 04:23:12,"F","arrest case no charge",0,1,"Low","O",3
"Male",44,"25 - 45","Caucasian",0,0,0,11,0,0,2013-09-07 03:37:40,2014-03-06 10:26:26,"M","Battery",0,3,"Low","V",180
"Male",37,"25 - 45","Caucasian",0,0,0,0,-1,1,2013-01-27 11:03:53,2013-01-28 08:38:10,"M","DUI Property Damage/Injury",0,4,"Low","N",1
"Female",27,"25 - 45","African-American",0,0,0,0,-1,6,2014-06-24 12:37:11,2014-06-26 05:53:50,"M","Battery",0,3,"Low","V",2
"Male",34,"25 - 45","Caucasian",1,0,0,9,-1,1,2014-04-25 03:08:53,2014-04-26 07:58:38,"F","Agg Assault W/int Com Fel Dome",1,6,"Medium","V",1
"Female",27,"25 - 45","African-American",0,0,0,0,-1,1,2014-10-02 08:00:53,2014-10-04 08:38:30,"F","Aggravated Assault W/Dead Weap",0,4,"Low","V",2
"Female",45,"Greater than 45","African-American",0,0,0,0,-1,1,2014-12-15 03:42:44,2014-12-16 01:34:29,"M","Battery",0,1,"Low","V",1
"Female",45,"Greater than 45","Other",0,0,0,0,0,1,2014-12-17 12:12:26,2014-12-17 08:31:47,"M","Retail Theft $300 1st Offense",0,1,"Low","N",0
"Male",27,"25 - 45","African-American",0,0,0,1,-1,1,2014-09-15 09:51:27,2015-01-29 09:22:56,"M","Battery",0,7,"Medium","V",136
"Male",28,"25 - 45","Caucasian",0,0,0,1,-1,1,2014-03-28 08:46:11,2014-03-29 08:50:40,"F","Possession of Cocaine",0,1,"Low","N",1
"Male",24,"Less than 25","Hispanic",0,0,0,0,-1,1,2014-05-16 05:57:24,2014-05-17 08:05:25,"F","Felony Battery (Dom Strang)",1,1,"Low","V",1
"Male",24,"Less than 25","Caucasian",0,0,0,0,-1,1,2014-01-06 04:11:19,2014-01-08 10:45:03,"F","Falsely Impersonating Officer",0,3,"Low","N",2
"Male",33,"25 - 45","Caucasian",0,0,0,0,-1,1,2014-05-04 08:31:57,2014-05-10 05:12:29,"M","Battery",0,7,"Medium","V",6
"Male",53,"Greater than 45","Caucasian",0,0,0,0,0,1,2014-12-18 01:52:23,2014-12-18 08:47:27,"M","Disorderly Conduct",0,1,"Low","N",0
"Male",27,"25 - 45","African-American",0,0,0,1,-1,1,2013-04-17 10:42:28,2013-04-23 07:14:50,"F","arrest case no charge",0,7,"Medium","O",6
"Male",35,"25 - 45","African-American",0,1,0,17,-1,1,2013-02-02 01:30:39,2013-02-04 03:00:27,"M","Battery",1,7,"Medium","V",2
"Male",58,"Greater than 45","Hispanic",0,0,0,1,-2,2,2014-03-03 02:58:09,2014-03-05 04:31:06,"M","Battery",0,1,"Low","V",2
"Male",39,"25 - 45","Caucasian",0,0,0,2,-26,26,2013-09-26 06:13:26,2013-09-29 02:36:41,"M","Battery",0,1,"Low","V",3
"Female",20,"Less than 25","African-American",0,0,0,0,0,1,2014-03-23 12:24:11,2014-03-23 09:07:20,"F","Grand Theft in the 3rd Degree",0,8,"High","N",0
"Male",24,"Less than 25","African-American",0,0,0,4,-3,3,2013-07-09 06:37:17,2013-07-12 11:59:49,"F","Burglary Unoccupied Dwelling",1,4,"Low","N",3
"Female",52,"Greater than 45","African-American",0,0,0,3,0,0,2014-01-13 02:37:51,2014-01-13 07:46:57,"F","False 911 Call",0,1,"Low","N",0
"Male",26,"25 - 45","African-American",0,0,0,1,-1,1,2014-12-08 08:17:20,2014-12-10 08:40:10,"F","Burglary Dwelling Armed",0,4,"Low","V",2
"Male",22,"Less than 25","African-American",0,0,0,0,-1,1,2014-05-28 07:11:52,2014-05-29 08:56:19,"F","Grand Theft in the 3rd Degree",0,7,"Medium","N",1
"Male",34,"25 - 45","African-American",0,0,0,0,-1,1,2014-01-12 09:56:37,2014-01-14 01:14:37,"F","Poss Wep Conv Felon",0,10,"High","N",2
"Male",20,"Less than 25","Hispanic",0,2,1,2,-1,1,2013-09-23 04:49:47,2013-10-24 12:26:37,"F","Burglary Conveyance Unoccup",1,8,"High","N",31
"Male",28,"25 - 45","African-American",0,0,1,12,-2,2,2014-01-04 01:05:47,2014-01-05 02:30:39,"M","Criminal Mischief Damage <$200",1,7,"Medium","N",1
"Male",25,"25 - 45","Hispanic",0,0,0,2,-1,744,2014-08-17 11:46:11,2014-08-18 12:33:28,"M","Disorderly Conduct",0,2,"Low","N",1
"Male",25,"25 - 45","African-American",0,1,0,6,-1,0,2013-08-16 10:52:42,2013-09-18 05:34:14,"M","arrest case no charge",0,7,"Medium","O",33
"Male",24,"Less than 25","African-American",0,0,0,8,-1,1,2013-08-18 07:10:12,2013-10-07 01:43:10,"F","Possession of Cocaine",1,7,"Medium","N",50
"Male",33,"25 - 45","Caucasian",0,0,0,3,0,1,2014-11-04 02:32:16,2014-11-05 04:10:46,"F","Poss Of 1,4-Butanediol",1,7,"Medium","N",1
"Male",24,"Less than 25","Caucasian",0,0,0,0,-1,1,2014-01-03 09:09:22,2014-01-04 01:32:53,"F","arrest case no charge",1,2,"Low","O",1
"Male",58,"Greater than 45","Caucasian",0,0,0,0,-1,1,2014-11-02 10:27:58,2014-11-03 08:59:28,"F","Felony Battery (Dom Strang)",0,1,"Low","V",1
"Male",36,"25 - 45","African-American",0,0,0,2,-1,1,2013-03-10 07:15:50,2013-03-11 01:32:19,"F","Driving While License Revoked",0,5,"Medium","N",1
"Male",49,"Greater than 45","African-American",0,0,1,19,0,1,2014-01-14 12:04:38,2014-03-11 05:40:00,"M","Battery",1,5,"Medium","V",56
"Male",23,"Less than 25","African-American",0,0,0,0,-1,1,2013-01-29 05:36:47,2013-01-30 07:49:51,"F","Possession Burglary Tools",0,3,"Low","N",1
"Male",27,"25 - 45","African-American",0,0,0,0,0,0,2014-09-15 02:55:18,2014-09-15 07:21:35,"M","Resist/Obstruct W/O Violence",0,3,"Low","N",0
"Male",34,"25 - 45","African-American",0,0,0,3,-21,21,2014-11-13 08:19:29,2014-11-29 12:50:27,"M","Battery",0,3,"Low","V",16
"Male",59,"Greater than 45","Caucasian",0,0,0,0,-1,1,2014-03-11 11:17:30,2014-03-12 01:43:28,"M","Battery",0,1,"Low","V",1
"Female",23,"Less than 25","Other",0,0,0,0,-1,1,2014-02-21 07:57:15,2014-02-22 08:23:54,"M","Battery",0,4,"Low","V",1
"Female",56,"Greater than 45","African-American",0,0,0,1,-1,1,2013-04-17 05:00:58,2013-04-18 05:52:26,"F","Possession of Cocaine",0,1,"Low","N",1
"Male",38,"25 - 45","African-American",0,1,0,10,-1,1,2013-02-05 08:38:14,2013-02-06 02:15:49,"M","Possess Cannabis 1000FTSch",0,6,"Medium","N",1
"Male",35,"25 - 45","Caucasian",0,0,0,1,-1,1,2014-01-15 09:08:05,2014-07-17 05:32:44,"F","Agg Battery Grt/Bod/Harm",0,3,"Low","V",183
"Male",27,"25 - 45","Caucasian",0,0,0,1,0,0,2014-05-01 06:10:33,2014-05-09 08:22:15,"F","Obstruct Officer W/Violence",0,5,"Medium","V",8
"Female",41,"25 - 45","Hispanic",0,0,0,0,-1,1,2014-01-30 06:22:27,2014-01-31 10:00:17,"F","Grand Theft in the 3rd Degree",0,1,"Low","N",1
"Male",20,"Less than 25","African-American",0,0,0,1,-1,1,2013-11-07 01:46:22,2013-11-08 08:59:23,"M","Battery",1,4,"Low","V",1
"Male",22,"Less than 25","Caucasian",0,0,3,1,-1,1,2013-09-16 07:00:48,2013-09-17 12:10:48,"F","Possession Of Alprazolam",1,5,"Medium","N",1
"Male",24,"Less than 25","African-American",0,2,1,8,-1,1,2013-05-15 06:50:18,2013-05-16 04:10:04,"F","arrest case no charge",1,9,"High","O",1
"Male",23,"Less than 25","Caucasian",0,0,0,1,-1,1,2013-02-01 03:12:13,2014-07-22 06:16:13,"F","arrest case no charge",0,4,"Low","O",536
"Male",20,"Less than 25","African-American",0,0,0,1,-1,1,2014-10-29 05:38:00,2014-11-01 03:15:38,"F","Grand Theft (Motor Vehicle)",0,10,"High","N",3
"Male",34,"25 - 45","Other",0,0,0,0,-1,1,2014-08-09 02:25:48,2014-08-10 08:40:46,"M","Battery",0,1,"Low","V",1
"Male",58,"Greater than 45","African-American",0,0,0,12,-1,1,2013-11-23 08:54:38,2013-11-27 08:50:05,"M","DUI Level 0.15 Or Minor In Veh",1,6,"Medium","N",4
"Male",41,"25 - 45","Caucasian",0,0,0,3,-1,1,2013-04-13 07:21:37,2013-04-14 02:55:27,"M","Driving Under The Influence",0,1,"Low","N",1
"Male",24,"Less than 25","African-American",0,1,0,4,-27,27,2013-08-02 08:34:54,2013-08-29 05:18:22,"F","Possession of Cocaine",1,8,"High","N",27
"Male",29,"25 - 45","African-American",0,0,0,2,-5,5,2014-05-15 12:17:00,2014-05-16 08:07:02,"F","arrest case no charge",0,7,"Medium","O",1
"Male",36,"25 - 45","Caucasian",0,0,0,0,0,0,2013-01-18 03:17:45,2013-01-18 08:51:56,"M","Driving Under The Influence",0,1,"Low","N",0
"Male",27,"25 - 45","African-American",0,0,0,4,-1,1,2013-03-11 08:04:33,2013-04-13 08:56:18,"F","Deliver 3,4 Methylenediox",0,8,"High","N",33
"Male",42,"25 - 45","Caucasian",0,0,0,7,-15,15,2014-12-16 10:17:55,2015-01-20 09:28:16,"F","Felony Petit Theft",0,7,"Medium","N",35
"Male",60,"Greater than 45","African-American",0,0,0,15,-1,1,2014-12-07 09:29:01,2015-03-02 11:37:49,"F","Felony Petit Theft",0,7,"Medium","N",85
"Male",38,"25 - 45","Caucasian",0,0,0,1,-1,1,2014-06-12 07:29:49,2014-06-13 01:45:37,"M","Reckless Driving",1,1,"Low","N",1
"Male",23,"Less than 25","Hispanic",0,0,0,0,-1,1,2013-08-22 07:07:54,2013-08-23 10:48:29,"M","Leaving Acc/Unattended Veh",0,7,"Medium","N",1
"Male",49,"Greater than 45","Caucasian",0,0,0,1,-26,26,2013-10-05 11:23:30,2013-10-06 08:39:07,"M","Battery",0,1,"Low","V",1
"Male",25,"25 - 45","Caucasian",0,0,0,2,-13,13,2014-01-10 03:47:24,2014-01-22 08:41:17,"F","arrest case no charge",1,4,"Low","O",12
"Male",20,"Less than 25","Caucasian",0,0,0,0,-1,1,2014-01-30 08:42:46,2014-02-03 01:10:07,"M","Battery",0,4,"Low","V",4
"Female",41,"25 - 45","Caucasian",0,0,0,7,25,81,2014-01-25 06:47:32,2015-02-26 05:52:45,"F","arrest case no charge",0,6,"Medium","O",397
"Male",35,"25 - 45","Caucasian",0,0,0,2,-1,1,2014-02-03 10:17:08,2014-02-04 07:35:43,"F","Child Abuse",0,1,"Low","V",1
"Male",38,"25 - 45","Caucasian",0,0,0,0,-1,1,2014-12-28 05:59:24,2014-12-29 01:07:58,"F","Tamper With Victim",0,1,"Low","N",1
"Male",31,"25 - 45","Other",0,0,0,0,-1,1,2014-02-28 09:25:17,2014-03-03 04:49:52,"M","Viol Prot Injunc Repeat Viol",0,1,"Low","N",3
"Male",45,"Greater than 45","Caucasian",0,0,0,0,-5,5,2013-07-17 08:06:47,2013-07-18 09:00:52,"F","Possession Of Heroin",0,3,"Low","N",1
"Male",21,"Less than 25","Caucasian",1,0,3,2,0,0,2013-02-16 04:51:02,2013-03-15 07:24:41,"M","Battery",1,10,"High","V",27
"Male",37,"25 - 45","African-American",0,0,0,4,-1,1,2014-10-31 09:52:44,2015-01-14 12:38:16,"M","Criminal Mischief>$200<$1000",1,7,"Medium","N",75
"Female",44,"25 - 45","Caucasian",0,0,0,1,-6,6,2013-04-03 11:25:15,2013-04-08 08:29:22,"M","Driving Under The Influence",0,5,"Medium","N",5
"Male",20,"Less than 25","African-American",0,0,1,0,-1,1,2014-08-19 07:09:11,2014-08-30 09:22:35,"F","Grand Theft in the 3rd Degree",0,10,"High","N",11
"Male",69,"Greater than 45","Caucasian",0,0,0,0,0,1,2014-05-13 12:45:50,2014-05-13 12:58:41,"F","Possession of Cocaine",0,1,"Low","N",0
"Male",22,"Less than 25","Asian",0,0,0,1,0,0,2013-09-13 04:22:12,2013-09-13 10:02:49,"M","DUI Level 0.15 Or Minor In Veh",0,2,"Low","N",0
"Male",34,"25 - 45","Other",0,0,0,0,0,0,2014-09-21 03:40:51,2014-09-22 08:47:54,"F","Aggravated Assault W/Dead Weap",0,2,"Low","V",1
